artist_id,artist_name,track_id,track_name,album_release_date,album_release_date_precision,is_explicit,duration_ms,popularity
408vMm7y1227ASq7GmWygZ,Sarz,6rOqLUy3kp0PVQQEtNPpbQ,Happiness (feat. Asake & Gunna),2023-12-07,day,False,174743,76
4jPuXBvEwyMyVQPRoQsTDn,Big Ben,6vFW5IUYRUAKcrvkRuWoQP,C'est qui ?,2023-12-01,day,False,165120,58
3ONGmday8YN8AkbsRk01iL,Lojay,3SA6Rfor4ghxWbyxxdpV3c,Arizona,2023-11-24,day,True,139706,65
5OLkn5GT6EcMuJzjwgvQnu,Vacra,2S9p5lu7tZvYMob6q7mmBe,XOXO,2023-11-16,day,False,183981,59
3wcj11K77LjEY1PkEazffa,Burna Boy,141y1FjVBV5IY7Mlvw5poL,Cheat On Me (feat. Dave),2023-08-22,day,True,222640,65
6L8y2rKomt32RmT4wfwZS7,Jungeli,4OXR2xcqJiLIjAtzEdbauW,Rashel,2023-12-14,day,False,176160,64
31Ua7zSTJxegjyd49ujbSA,NSG,17sdMcLIsAvKuQBPKXmiDC,TONIGHT (feat. Libianca & Jae5),2023-10-20,day,True,211873,61
4krMq8pXkLVTGplpYgHlnV,Ronisia,3NBSAeAixlWOpyTUuSePMZ,Méchante - Bonus,2023-11-17,day,False,135626,52
6IhG3Yxm3UW98jhyBvrIut,Tekno,1rZyZOkUjlbfaqTLVvMNqx,Away,2023-12-05,day,False,137885,65
3kEcQwpYE06lQJAAA3fVAA,DJ Kawest,3YX6MF3ZbRSjFeiqLFVkX0,À quoi ça sert,2023-12-01,day,False,162114,50
