is_explicit,duration_ms,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_ms,time_signature
False,317066,317067,51,0.816,0.253,1,-11.721,0,0.047,0.0821,0.317,0.0959,0.159,114.022,317066,317067,4
False,284231,284232,24,0.737,0.794,0,-11.88,1,0.0619,0.0314,0.918,0.185,0.526,113.997,284231,284232,4
False,396482,396482,42,0.719,0.834,0,-7.061,0,0.113,0.0212,0.33,0.0983,0.438,114.011,396482,396482,4
False,302428,302428,54,0.723,0.571,1,-10.22,1,0.0572,0.21,0.334,0.133,0.185,115.518,302428,302428,4
False,230746,230747,34,0.987,0.629,0,-7.136,1,0.264,0.00167,0.16,0.0634,0.425,115.342,230746,230747,4
False,293825,293825,36,0.885,0.622,4,-8.478,0,0.0802,0.00638,0.93,0.188,0.826,115.036,293825,293825,4
False,244706,244707,38,0.827,0.745,4,-6.832,0,0.0443,0.0762,0.83,0.0753,0.387,115.047,244706,244707,4
False,236253,236253,32,0.742,0.712,7,-5.993,1,0.0323,0.0381,0.00848,0.0682,0.765,115.007,236253,236253,4
False,383170,383171,39,0.743,0.805,11,-7.675,1,0.0397,0.365,0.898,0.122,0.414,115.986,383170,383171,4
False,288280,288280,46,0.756,0.829,11,-6.088,0,0.0491,0.269,0.0352,0.383,0.88,117.626,288280,288280,4
False,300315,300316,35,0.807,0.651,5,-9.111,0,0.0396,0.0114,0.716,0.23,0.843,117.997,300315,300316,4
False,349795,349796,44,0.872,0.608,0,-9.463,0,0.23,0.0174,0.311,0.294,0.777,117.981,349795,349796,4
False,470863,470864,30,0.82,0.816,9,-6.623,0,0.093,0.0428,0.0764,0.11,0.675,118.34,470863,470864,4
False,176949,176949,68,0.625,0.901,10,-9.194,1,0.0429,0.486,0.929,0.148,0.12,118.006,176949,176949,4
